Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","S2905","Cereals - Excluding Beer","1961","1961","1000 tonnes","803000","I","Imputed value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","S2905","Cereals - Excluding Beer","1962","1962","1000 tonnes","854785","I","Imputed value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","S2905","Cereals - Excluding Beer","1963","1963","1000 tonnes","864050","I","Imputed value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","S2905","Cereals - Excluding Beer","1964","1964","1000 tonnes","910914","I","Imputed value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","S2905","Cereals - Excluding Beer","1965","1965","1000 tonnes","911276","I","Imputed value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","S2905","Cereals - Excluding Beer","1966","1966","1000 tonnes","989566","I","Imputed value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","S2905","Cereals - Excluding Beer","1967","1967","1000 tonnes","1028935","I","Imputed value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","S2905","Cereals - Excluding Beer","1968","1968","1000 tonnes","1062284","I","Imputed value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","S2905","Cereals - Excluding Beer","1969","1969","1000 tonnes","1069761","I","Imputed value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","S2905","Cereals - Excluding Beer","1970","1970","1000 tonnes","1085172","I","Imputed value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","S2905","Cereals - Excluding Beer","1971","1971","1000 tonnes","1191735","I","Imputed value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","S2905","Cereals - Excluding Beer","1972","1972","1000 tonnes","1152361","I","Imputed value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","S2905","Cereals - Excluding Beer","1973","1973","1000 tonnes","1243495","I","Imputed value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","S2905","Cereals - Excluding Beer","1974","1974","1000 tonnes","1212515","I","Imputed value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","S2905","Cereals - Excluding Beer","1975","1975","1000 tonnes","1237447","I","Imputed value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","S2905","Cereals - Excluding Beer","1976","1976","1000 tonnes","1343659","I","Imputed value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","S2905","Cereals - Excluding Beer","1977","1977","1000 tonnes","1330432","I","Imputed value"
